id,Képesség,IMG,
100,Force two minions attack each other,d863b69a-76cd-4f9c-a071-01d03c4021e1.jpg,
101,Force two minions attack him,id_00084_011_pangolin_nightclub_bouncer_large.png,
102,"Jóga-egyensúly (legerősebb -1/-1, 3 leggyengébb +1/+1)",id_00143_006_flamingo_yoga_instructor_balancing.png,
103,3 maki légitámadás,id_00026_001_stylized_an_andean_cock.png;id_00088_003_an_andean_cock_rock.png,
104,Késleltetett bomba (2 ütés után),id_00155_018_proud_dung_beetle_waste.png,
105,Könyvelő (+1/+1 kézben lévő lapért),id_00105_020_platypus_accountant_bill_puzzled.png,
106,Steal 3 Attack before attack,id_00086_001_fossa_lawyer_sleek_reddish.png,
107,Set highest HP enemy to 1,id_00093_008_komodo_dragon_judge_rugged.png,
108,Copy opposite minion's Attack,id_00238_007_chameleon_sound_technician_instinctively.png,
109,Swap Attack/Health StartOfCombat,id_00090_005_numbat_museum_custodian_striped.png,
110,3 sebzés random ellenfélnek StartOfCombat,id_00114_029_poison_dart_frog_dj.png,
111,"Ha buffolnak valakit, őt is buffolják (listener)",Gemini_Generated_Image_1upkwl1upkwl1upk.png,
112,Counter Spell / StartOfCombat (a sorban elsőt semlegesíti),id_00180_003_an_aye_aye_goa.png,
113,Sleep For An Extra Turn,id_00103_018_koala_call_center_worker.png,
114,Ha egyedül van kap a boardon+2/2,id_00117_032_frill_necked_lizard_influencer.png,
,DEATH,,
115,OnDeath: a szomszédos token minionok +stat-ot kapnak,id_00105_020_platypus_accountant_bill_puzzled.png,
116,OnDeath: visszatér 1 körre gyengült formában,id_00035_007_stylized_pink_axolotl_pharmacist.png,
117,Idézz egy 2/2-t,id_00116_031_fire_salamander_firefighter_glossy.png,
118,3 sebzés random ellenfélnek,id_00114_029_poison_dart_frog_dj.png,
119,Gyógyíts 4-et egy barátnak,id_00115_030_translucent_glass_frog_nurse.png,
120,Szomszédok +2/+1,id_00208_011_gal_pagos_tortoise_elevator.png,
121,Idézz 3 lényt,id_00141_004_chinchilla_luxury_fur_salon.png,
122,Minden barát +1/+1,id_00213_002_an_ancient_tuatara_philosopher.png,
123,Random barát duplázza HP-ját,,
124,Barátnak +3 hp,id_00032_004_stylized_wombat_baker_white.png;,
125,when dies gain 2 mana next turn,id_00122_037_jittery_rat_crypto_trader.png,
,,,
126,Enemy taunts ignored,id_00142_005_tibetan_yak_locksmith_massive.png,
,,,
127,3 attack All,id_00163_006_saiga_antelope_sommelier_magnificent.png,
128,Cant be attacked,id_00166_009_markhor_goat_rooftop_chimney.png,
,,,
,Gazdasági,,
129,+1 Gold ebben a körben,id_00231_016_prompt_happy_crow_wearing.png,
,,,
,,,
130,Cleave,id_00058_005_stylized_monitor_lizard_sauna.png,
,,,
,Képességek,,
131,Visszacsapás (Reflect Damage),id_00037_009_stylized_beaver_plumber_blue.png,
132,Blokk / csapattárs elé ugrás,id_00116_031_fire_salamander_firefighter_glossy.png,
133,Immune while attacked (cannot be taunted),id_00072_002_chameleon_detective_independently_swiveling,
134,Each second hit is blocked,id_00182_005_tenrec_fakir_street_performer.png,
135,When dies: summon half of original stats,id_00237_006_an_axolotl_caf_worker.png,
,,,
,,,
136,"Kölcsön Erő (1. kör +4/+4, 2. kör -3/-3)",Gemini_Generated_Image_k2pw1pk2pw1pk2pw.png,
137,Varánusz gazdaság-duplázó,id_00198_001_tuatara_government_office_clerk.png,
138,Silence An Enemy,id_00164_007_shoebill_stork_librarian_silent.png,
139,End of turn give a friendly minion +3 3,id_00171_014_fossa_personal_trainer_checking.png,
140,Bezár egy enemyt egy körig,id_00181_004_chameleon_street_mime_classic.png,
141,TAUNT,id_00071_001_babirusa_wild_pig_butcher.png,
142,OnPlay Summon a minion from hand that has less attack than him,id_00094_009_gal_pagos_penguin_bus.png,
143,Egyedi történetek mechanikák,,
,,,
,,,
1,Albatrosz — Élethosszig Tartó Pár,Gemini_Generated_Image_,
,,,
2,Shoebill — Temetői Scaling,id_00082_009_shoebill_stork_funeral_director.png,
,,,
144,Charge,id_00102_017_kangaroo_courier_delivery_bag.png,
145,Charge,id_00097_012_weathered_frog_taxi_driver.png,
146,Charge,id_00136_051_sugar_glider_window_cleaner.png,
,,,
,,,Leirás
1000,"Hipopotamusz a fürdőkádban → ""Zsúfolt Medence""",Gemini_Generated_Image_ (16).png,
1001,"Tortacsata a pékségben → ""Tortacsata""",aoe_1,"Minden minion (mindkét oldal) véletlenszerűen 1-3 sebzést kap — Okozz 4 sebzést egy minionnak ÉS 1-et a saját hősödnek — a káosz ára van, de a mézborz tudja, mit csinál. (A ""nyugodt arc a tűzben"" flavor = a self-damage trade-off.)"
1002,"3. Mézborz gáztechnikus → ""Kontrollált Robbanás""",Gemini_Generated_Image_ (22).png,"Okozz 4 sebzést egy minionnak ÉS 1-et a saját hősödnek — a káosz ára van, de a mézborz tudja, mit csinál. (A ""nyugodt arc a tűzben"" flavor = a self-damage trade-off.)"
1003,Ments meg egy barátságos miniont: vedd vissza a kezedbe a harc közepéről,goat,
1004,"Elefánt a porcelánboltban → ""Porcelánbolt""",Gemini_Generated_Image_ (24).png,Pusztíts el egy barátságos miniont: minden ellenséges minion sebzést kap a statjai alapján
1005,"Pelikán forgalomirányító → ""Csúcsforgalom-stop"" (Dugó)",Gemini_Generated_Image_ (14).png,A következő körben egyetlen ellenséges minion sem támadhat — a forgalom áll.
1006,"Emu villamosvezető → ""A 4-6-os érkezik""",id_00095_010_an_emu_bus_driver.png,Sebzés egy oszlopban: a szemben álló minion és szomszédai 2-2 sebzést kapnak — 
1007,"Órásmester teknős → ""Jövőbe küldés""",teknosjovo,"Egy minion eltűnik a következő körödig, majd visszatér — az óramutató átugrik rajta."
1008,"Kapibara jégesőben → ""Rendíthetetlen Nyugalom""",Gemini_Generated_Image_ (31).png,
1009,"Borz mentős → ""Szirénázó Mentő""",Gemini_Generated_Image_ (27).png,Gyógyíts 6-ot egy barátságos karakternek
1010,"Galamb tánccsapat → ""Szinkron-tánc""",balansz,Minden barátságos minion statja kiegyenlítődik az átlagukra — mindenki ugyanazt a lépést járja.
1011,"Alvó Darukezelő""",Gemini_Generated_Image_ (33).png,"Egy véletlenszerű minion (bárkié!) átkerül a board másik végére — a daru felkap valakit, és senki nem tudja, hova teszi le. "
1012,"Egy barátságos minion +3 Támadást kap ebben a körben, ÉS a szomszédai +1-et — az áram átfolyik a vezetéken, a mellette állók is kapnak a töltésből. (Lánc-buff, a pozíció számít: középre tedd, akit igazán fel akarsz tölteni.)",Gemini_Generated_Image_b2r5hfb2r5hfb2r5,
1013,Csiga a síneken → Az ellenfél következő köre 1-gyel kevesebb manából indul,Gemini_Generated_Image_9czo079czo079czo,
,,,
,,,
,csak később,,
1014," Szkunk gázszivárgás-riadó → ""Evakuáció""","Minden minion (mindkét oldal) visszakerül a gazdája kezébe — mindenki ki a házból! (Vad board-reset — ritka, drága lap.)",Gemini_Generated_Image_ (30).png
,,,
1015,Mole-Rat Sauna Master → a) All OTHER minions -1 Attack this turn,id_00327_016_naked_mole_rat_sauna.png,
,,,
1016,Sea Cucumber Escape Artist → a) Escape any negative effect,id_00330_019_sea_cucumber_escape_artist.png,
1017," Sugar Glider on Swing → a) A friendly minion gains +2/+2 and ""when this dies, return to hand""",id_00332_001_young_sugar_glider_on.png,
1018, Pistol Shrimp Plumber** → Deal 3 damage to a minion AND 1 to its neighbors,id_00282_001_pistol_shrimp_plumber_snapping.png,
1019, Cassowary Inspector** → Destroy an enemy minion with 3 or less Health,id_00283_002_cassowary_construction_inspector_kicking.png,
1020,Fearless Honey Badger Baker → Take 3 less damage from all sources this turn,id_00232_001_fearless_honey_badger_bakery,
1021,Szomorú borz a megállóban → Dobd el a kezed 1 lapját: húzz 2-t a következő körben,id_00230_015_prompt_sad_exhausted_badger.png,
,,,
1022,"Hernyó tervez → Húzz 2 lapot, dobj el 1-et ",id_00225_010_prompt_determined_caterpillar_wearing.png,
1023,Leafcutter Ant Mover → A friendly minion gains +4/+4 but can't attack this turn,id_00239_008_tiny_leafcutter_ant_mover.png,
1024,"Secretary Bird Inspector → a) Deal 4 damage, ignoring blocks/shields",id_00288_007_secretary_bird_pest_control.png,
1025,Numbat Surveyor → a) Deal 3 damage to a damaged minion ,id_00256_015_numbat_building_surveyor_kneeling,
1026,4 Electric Eel Metro (jump-start)** → Reactivate a friendly minion that already attacked:,id_00265_004_an_electric_eel_metro.png,
1027, Fossa Pickpocket** → Steal 2 gold from the enemy,id_00293_012_fossa_pickpocket_mid_slip.png,
1028,Pangolin Street Sweeper** → Blocks ALL damage this turn but can't attack,id_00279_018_pangolin_street_sweeper_rolled.png,
1029,Deal 4 damage to a enemy,Gemini_Generated_Image_ (25).png,
1030,Deal 6 damage to two random minion,Gemini_Generated_Image_ (23).png,
1031,Leafcutter Ant Mover → A friendly minion gains +4/+4 but can't attack this turn,id_00239_008_tiny_leafcutter_ant_mover.png,
1032,"Mantis Shrimp Electrician → a) Look at 3 cards from your deck, draw 1. b) Reveal the enemy's hand this turn.",id_00246_005_mantis_shrimp_metro_electrician.png,
,,,
,Archerfish Street Cleaner → a) Deal 3 damage to any target,vid_00251_010_an_archerfish_street_cleaner.png,
,,,
,Deal 6 damage to enemy,id_00267_006_babirusa_market_vendor_charging.png,
,*005 Wolverine Repo Man** → Take control of an enemy minion with 4 or less Attack this turn (drags it over).,id_00266_005_wolverine_repo_man_single.png,
,Sloth Pigeon-Feeder** → Summon 4 1/1 Pigeons,id_00281_020_sloth_pigeon_feeder_buried.png,
,Aye-aye Safecracker** → Look at the enemy's hand and copy 1 card from it (cracks the vault).,id_00289_008_an_aye_aye_safecracker.png,
, Axolotl Burn-ward Doctor** → Restore a minion to full Health AND remove all its debuffs (full recovery).,id_00291_010_an_axolotl_burn_ward.png,
,5 damage to minion,id_00284_003_mantis_shrimp_scrapyard_worker.png,
,Decorator Crab Vendor → a) This minion gains +1/+1 for every card you've played this game,id_00314_003_decorator_crab_flea_market.png,
,Star-Nosed Mole Sommelier ,id_00313_002_star_nosed_mole_sommelier.png,Discover a card from your Deck
,,,
,4 dmg to all,aoe_2,
,6dmg  to enemy ,aoe_3,
